Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Bolo Ram - Ram Dhun,Jagjit Singh,Bolo Ram (Ram Dhun),Jagjit Singh,22-12-2007,2007,1,1,1353000,1353,22.55,FALSE,19,"classic bollywood,desi pop,filmi,ghazal,sufi",0.66,0.501,4,-12.094,1,0.0268,0.5,4.07E-06,0.198,0.774,87.813,4,Hindi
Humko Mann Ki Shakti Dena,A.R. Rahman,Humko Mann Ki Shakti Dena - Single,A.R. Rahman,07-12-2015,2015,1,1,257142,257.142,4.2857,FALSE,13,"desi pop,filmi,modern bollywood",0.409,0.0346,4,-21.676,1,0.0326,0.953,0.00173,0.085,0.218,141.518,3,Hindi
Om Jai Jagdish Hare,Nitin Mukesh,Om Jai Jagdish Hare (Aarti Sangrah),"Nitin Mukesh, Anupama",25-06-1993,1993,1,4,461546,461.546,7.692433333,FALSE,48,"classic bollywood,filmi,ghazal",0.639,0.523,4,-11.059,1,0.0307,0.422,0,0.651,0.731,91.034,4,Hindi
Sooraj Ki Garmi,Vipin Sachdeva,"Bhajan from India, Vol. 4","Vipin Sachdeva, Sadhana Sargam",16-07-2016,2016,1,6,314370,314.37,5.2395,FALSE,0,bhajan,0.744,0.764,2,-4.139,0,0.0348,0.143,0,0.157,0.96,94.424,3,Hindi
Bolo Ram - Ram Dhun,Jagjit Singh,Ram Navmi Special Bhajans Vol-4,Various Artists,04-04-2017,2017,1,7,1353000,1353,22.55,FALSE,3,"classic bollywood,desi pop,filmi,ghazal,sufi",0.66,0.501,4,-12.094,1,0.0268,0.5,4.07E-06,0.198,0.774,87.813,4,Hindi
Hanuman Chalisa,"Pandit Jasraj, Shankar Mahadevan",Hanuman - The Essential Prayers,Various Artists,17-03-2014,2014,1,2,750693,750.693,12.51155,FALSE,30,"classic bollywood,ghazal,hindustani classical,hindustani vocal,indian classical,khayal,desi hip hop,desi pop,filmi,modern bollywood",0.386,0.474,1,-10.229,1,0.0509,0.808,0,0.115,0.574,84.64,4,Hindi
Mahamrityunjaya Mantra,Shekhar Ravjiani,Mahamrityunjaya Mantra,Shekhar Ravjiani,13-04-2020,2020,1,1,200831,200.831,3.347183333,FALSE,32,"filmi,modern bollywood",0.521,0.355,0,-12.854,1,0.0285,0.939,0.00268,0.105,0.378,146.01,5,Hindi
Mira's Song (Mharo Pranam),"As Kindred Spirits, Gaura Vani",10 Million Moons,"As Kindred Spirits, Gaura Vani",19-05-2009,2009,1,4,234960,234.96,3.916,FALSE,34,"kirtan,world devotional",0.355,0.27,5,-13.06,1,0.0348,0.889,1.26E-06,0.152,0.245,80.289,4,Hindi
Janaki Nath Sahay Kare,Ajoy Chakrabarty,Ishwar Allah Tere Naam,Various Artists,2003,2003,1,7,354335,354.335,5.905583333,FALSE,1,"hindustani classical,hindustani vocal,indian classical,khayal",0.447,0.577,4,-8.415,1,0.0406,0.72,4.86E-05,0.189,0.606,127.665,4,Hindi
Prabhujee,Ravi Shankar,Chants of India,Ravi Shankar,06-05-1997,1997,1,15,484506,484.506,8.0751,FALSE,38,"hindustani classical,indian classical,sitar,world fusion",0.481,0.263,2,-12.752,1,0.0287,0.947,0.00198,0.14,0.191,119.984,4,Hindi
Shree Krishna Govind Hare Murari,Maanya Arora,Shree Krishna Govind Hare Murari,Maanya Arora,17-02-2020,2020,1,1,328167,328.167,5.46945,FALSE,52,"bhajan,gujarati garba",0.476,0.393,1,-5.207,1,0.032,0.889,0,0.116,0.295,112.976,5,Hindi
